Funktionsname,Component,Components
GMImage.QuantumDepth,GraphicsMagick,GraphicsMagick
GMImage.Raise,GraphicsMagick,GraphicsMagick
GMImage.RandomThreshold,GraphicsMagick,GraphicsMagick
GMImage.RandomThresholdChannel,GraphicsMagick,GraphicsMagick
GMImage.Read,GraphicsMagick,GraphicsMagick
GMImage.ReadContainer,GraphicsMagick,GraphicsMagick
GMImage.ReduceNoise,GraphicsMagick,GraphicsMagick
GMImage.Release,GraphicsMagick,GraphicsMagick
GMImage.ReleaseAll,GraphicsMagick,GraphicsMagick
GMImage.Repage,GraphicsMagick,GraphicsMagick
GMImage.ReplaceColor,GraphicsMagick,GraphicsMagick
GMImage.Resize,GraphicsMagick,GraphicsMagick
GMImage.Roll,GraphicsMagick,GraphicsMagick
GMImage.Rollxy,GraphicsMagick,GraphicsMagick
GMImage.Rotate,GraphicsMagick,GraphicsMagick
GMImage.Rotating,GraphicsMagick,GraphicsMagick
GMImage.Rows,GraphicsMagick,GraphicsMagick
GMImage.Sample,GraphicsMagick,GraphicsMagick
GMImage.Scale,GraphicsMagick,GraphicsMagick
GMImage.Scaling,GraphicsMagick,GraphicsMagick
GMImage.Segment,GraphicsMagick,GraphicsMagick
GMImage.SetAdjoin,GraphicsMagick,GraphicsMagick
GMImage.SetAnimationDelay,GraphicsMagick,GraphicsMagick
GMImage.SetAnimationIterations,GraphicsMagick,GraphicsMagick
GMImage.SetAntiAlias,GraphicsMagick,GraphicsMagick
GMImage.SetAttribute,GraphicsMagick,GraphicsMagick
GMImage.SetBackgroundColor,GraphicsMagick,GraphicsMagick
GMImage.SetBackgroundTexture,GraphicsMagick,GraphicsMagick
GMImage.SetBorderColor,GraphicsMagick,GraphicsMagick
GMImage.SetBoxColor,GraphicsMagick,GraphicsMagick
GMImage.SetCacheThreshold,GraphicsMagick,GraphicsMagick
GMImage.SetClassType,GraphicsMagick,GraphicsMagick
GMImage.SetColorFuzz,GraphicsMagick,GraphicsMagick
GMImage.SetColorMapSize,GraphicsMagick,GraphicsMagick
GMImage.SetColorSpace,GraphicsMagick,GraphicsMagick
GMImage.SetComment,GraphicsMagick,GraphicsMagick
GMImage.SetCompose,GraphicsMagick,GraphicsMagick
GMImage.SetCompressType,GraphicsMagick,GraphicsMagick
GMImage.SetDebug,GraphicsMagick,GraphicsMagick
GMImage.SetDefineSet,GraphicsMagick,GraphicsMagick
GMImage.SetDefineValue,GraphicsMagick,GraphicsMagick
GMImage.SetDensity,GraphicsMagick,GraphicsMagick
GMImage.SetDepth,GraphicsMagick,GraphicsMagick
GMImage.SetEXIFOrientation,GraphicsMagick,GraphicsMagick
GMImage.SetEndian,GraphicsMagick,GraphicsMagick
GMImage.SetFileName,GraphicsMagick,GraphicsMagick
GMImage.SetFillColor,GraphicsMagick,GraphicsMagick
GMImage.SetFillRule,GraphicsMagick,GraphicsMagick
GMImage.SetFilterType,GraphicsMagick,GraphicsMagick
GMImage.SetFont,GraphicsMagick,GraphicsMagick
GMImage.SetFontFamily,GraphicsMagick,GraphicsMagick
GMImage.SetFontPointSize,GraphicsMagick,GraphicsMagick
GMImage.SetFontStretch,GraphicsMagick,GraphicsMagick
GMImage.SetFontStyle,GraphicsMagick,GraphicsMagick
GMImage.SetFontWeight,GraphicsMagick,GraphicsMagick
GMImage.SetGifDisposeMethod,GraphicsMagick,GraphicsMagick
GMImage.SetICCColorProfile,GraphicsMagick,GraphicsMagick
GMImage.SetIPTCProfile,GraphicsMagick,GraphicsMagick
GMImage.SetInterlaceType,GraphicsMagick,GraphicsMagick
GMImage.SetIsValid,GraphicsMagick,GraphicsMagick
GMImage.SetLabel,GraphicsMagick,GraphicsMagick
GMImage.SetLineWidth,GraphicsMagick,GraphicsMagick
GMImage.SetLogEventMask,GraphicsMagick,GraphicsMagick
GMImage.SetMagick,GraphicsMagick,GraphicsMagick
GMImage.SetMatte,GraphicsMagick,GraphicsMagick
GMImage.SetMatteColor,GraphicsMagick,GraphicsMagick
GMImage.SetModulusDepth,GraphicsMagick,GraphicsMagick
GMImage.SetMonochrome,GraphicsMagick,GraphicsMagick
